歌ID,決まり字,下の句の決まり字,歌人,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）,上の句（よみがな）,下の句（よみがな）
26,おぐ,いまひとたびのみ,貞信公,小倉山峰のもみぢ葉心あらば,今ひとたびのみゆき待たなむ,をぐらやまみねのもみぢばこころあらば,いまひとたびのみゆきまたなむ,おぐらやまみねのもみじばこころあらば,いまひとたびのみゆきまたなん
27,みかの,いつ,中納言兼輔,みかの原わきて流るる泉川,いつ見きとてか恋しかるらむ,みかのはらわきてながるるいづみがは,いつみきとてかこひしかるらむ,みかのはらわきてながるるいずみがは,いつみきとてかこいしかるらん
28,やまざ,ひとめ,源宗于朝臣,山里は冬ぞ寂しさまさりける,人目も草もかれぬと思へば,やまざとはふゆぞさびしさまさりける,ひとめもくさもかれぬとおもへば,やまざとはふゆぞさびしさまさりける,ひとめもくさもかれぬとおもえば
29,こころあ,おき,凡河内躬恒,心あてに折らばや折らむ初霜の,置きまどはせる白菊の花,こころあてにをらばやをらむはつしもの,おきまどはせるしらぎくのはな,こころあてにおらばやをらんはつしもの,おきまどわせるしらぎくのはな
30,ありあ,あか,壬生忠岑,有明のつれなく見えし別れより,暁ばかり憂きものはなし,ありあけのつれなくみえしわかれより,あかつきばかりうきものはなし,ありあけのつれなくみえしわかれより,あかつきばかりうきものはなし
31,あさぼらけあ, ,坂上是則,朝ぼらけ有明の月と見るまでに,吉野の里に降れる白雪,あさぼらけありあけのつきとみるまでに, よしののさとに ふれるしらゆき,あさぼらけありあけのつきとみるまでに, よしののさとにふれるしらゆき
32,やまが,ながれ,春道列樹,山川に風のかけたるしがらみは,流れもあへぬ紅葉なりけり,やまがはにかぜのかけたるしがらみは,ながれもあへぬもみぢなりけり,やまがわにかぜのかけたるしがらみは,ながれもあえぬもみじなりけり
33,ひさ,しず,紀友則,ひさかたの光のどけき春の日に,しづ心なく花の散るらむ,ひさかたのひかりのどけきはるのひに,しづこころなくはなのちるらむ,ひさかたのひかりのどけきはるのひに,しずこころなくはなのちるらん
34,たれ,まつも,藤原興風,誰をかも知る人にせむ高砂の,松も昔の友ならなくに,たれをかもしるひとにせむたかさごの,まつもむかしのともならなくに,たれをかもしるひとにせむたかさごの,まつもむかしのともならなくに
35,ひとは,はなぞ,紀貫之,人はいさ心も知らずふるさとは,花ぞ昔の香に匂ひける,ひとはいさこころもしらずふるさとは,はなぞむかしのかににほひける,ひとはいさこころもしらずふるさとは,はなぞむかしのかににおいける
36,なつ,くもの,清原深養父,夏の夜はまだ宵ながら明けぬるを,雲のいずこに月宿るらむ,なつのよはまだよひながらあけぬるを,くものいづこにつきやどるらむ,なつのよはまだよいながらあけぬるを,くものいずこにつきやどるらん
37,しら,つ,文屋朝康,白露に風の吹きしく秋の野は,つらぬきとめぬ玉ぞ散りける,しらつゆにかぜのふきしくあきののは,つらぬきとめぬたまぞちりける,しらつゆにかぜのふきしくあきののは,つらぬきとめぬたまぞちりける
38,わすら,ひとの,右近,忘らるる身をば思はず誓ひてし,人の命の惜しくもあるかな,わすらるるみをばおもはずちかひてし,ひとのいのちのをしくもあるかな,わすらるるみをばおもわずちかいてし,ひとのいのちのおしくもあるかな
39,あさじ,あまり,参議等,浅茅生の小野の篠原忍ぶれど,あまりてなどか人の恋しき,あさぢふのをののしのはらしのぶれど,あまりてなどかひとのこひしき,あさぢうのおののしのはらしのぶれど,あまりてなどかひとのこいしき
40,しの,もの,平兼盛,忍ぶれど色に出でにけりわが恋は,ものや思ふと人の問ふまで,しのぶれどいろにいでにけりわがこひは,ものやおもふとひとのとふまで,しのぶれどいろにいでにけりわがこいは,ものやおもうとひとのとうまで
41,こい,ひとし,壬生忠見,恋すてふわが名はまだき立ちにけり,人知れずこそ思ひそめしか,こひすてふわがなはまだきたちにけり,ひとしれずこそおもひそめしか,こいすちょうわがなはまだきたちにけり,ひとしれずこそおもいそめしか
42,ちぎりき,す,清原元輔,契りきなかたみに袖をしぼりつつ,末の松山波越さじとは,ちぎりきなかたみにそでをしぼりつつ,すゑのまつやまなみこさじとは,ちぎりきなかたみにそでをしぼりつつ,すえのまつやまなみこさじとは
43,あい,むか,権中納言敦忠,逢ひ見ての後の心にくらぶれば,昔はものを思はざりけり,あひみてののちのこころにくらぶれば,むかしはものをおもはざりけり,あいみてののちのこころにくらぶれば,むかしはものをおもわざりけり
44,おおこ,ひとを,中納言朝忠,逢ふことの絶えてしなくはなかなかに,人をも身をも恨みざらまし,あふことのたえてしなくはなかなかに,ひとをもみをもうらみざらまし,おおことのたえてしなくはなかなかに,ひとをもみをもうらみざらまし
45,あはれ,みの,謙徳公,あはれともいふべき人は思ほえで,身のいたずらになりぬべきかな,あはれともいふべきひとはおもほえで,みのいたづらになりぬべきかな,あわれともいうべきひとはおもおえで,みのいたずらになりぬべきかな
46,ゆら,ゆく,曾禰好忠,由良の戸を渡る舟人かぢをたえ,ゆくへも知らぬ恋の道かな,ゆらのとをわたるふなびとかぢをたえ,ゆくへもしらぬこひのみちかな,ゆらのとをわたるふなびとかじをたえ,ゆくえもしらぬこいのみちかな
47,やえ,ひとこそみ,恵慶法師,八重むぐら茂れる宿のさびしきに,人こそ見えね秋は来にけり,やへむぐらしげれるやどのさびしきに,ひとこそみえねあきはきにけり,やえむぐらしげれるやどのさびしきに,ひとこそみえねあきはきにけり
